feature1,feature2,label
10801.433393506975,255.75,0
10772.040085803894,251.19999999999993,0
13101.421530992015,38.69999999999993,0
13090.360147063582,57.25,0
15513.519461971826,383.65,0
15488.711850800904,396.0,0
15508.110700019268,384.69999999999993,0
15489.55439736261,388.0,0
15458.551288046883,399.29999999999995,0
15534.049802022586,393.69999999999993,0
15543.420020564405,382.75,0
15495.16993343259,393.04999999999995,0
15471.154390671858,402.54999999999995,0
15497.620149204167,377.65,0
15552.155174477399,409.9,0
15469.982456983576,405.65,0
15534.158823503458,394.5,0
15539.156853027027,387.65,0
15465.241342125704,389.54999999999995,0
15484.856888158778,388.9,0
15516.199506593679,392.15,0
15474.777538535003,406.1,0
15531.557603873083,388.54999999999995,0
15553.575194152994,385.35,0
15486.369866492894,394.94999999999993,0
15474.137323135239,377.69999999999993,0
15472.004513592503,398.6,0
15527.42146963179,390.1,0
15511.370328332903,386.65,0
15516.455940229758,393.65,0
15465.739249872573,406.04999999999995,0
15463.03573623096,395.15,0
15470.70251529598,390.19999999999993,0
15485.782805546867,392.54999999999995,0
15548.865119873339,387.0,0
15555.025689967499,398.79999999999995,0
15471.469682803603,396.69999999999993,0
15532.26059979334,389.1,0
15548.020955392749,380.25,0
15465.568771663682,374.54999999999995,0
15551.038295093333,391.54999999999995,0
15495.87932099939,395.1,0
15466.45898443833,388.9,0
15481.186706349108,393.65,0
15551.840368322664,384.5,0
15476.670424836308,389.15,0
15499.3199503179,370.94999999999993,0
15522.528692039827,381.75,0
15529.795470974155,406.25,0
15463.324385479578,377.35,0
15479.214344609936,386.15,0
15529.112913451758,401.69999999999993,0
15554.67011713041,376.19999999999993,0
15477.208507912435,403.0,0
15497.021015558528,392.19999999999993,0
15551.810081159914,393.79999999999995,0
15507.697071506587,394.1,0
15529.841397245567,401.4,0
15474.910803740984,390.79999999999995,0
15521.012606232103,387.54999999999995,0
15458.339054263026,386.5,0
15478.908536740015,382.04999999999995,0
15537.583585933648,395.69999999999993,0
15467.325683723577,371.35,0
15528.854640934847,381.25,0
15486.373837733743,395.6,0
15464.347116417312,381.85,0
15551.677501433367,399.79999999999995,0
15466.172323641875,402.1,0
15525.027269118718,399.19999999999993,0
15514.263924460029,396.6,0
15480.118298846988,382.9,0
15468.86583127712,390.6,0
15549.741903156866,389.65,0
15457.8962014989,395.04999999999995,0
15511.942367211179,377.79999999999995,0
15508.885806741235,396.85,0
15469.343569347775,377.69999999999993,0
15456.112823567508,402.44999999999993,0
15544.555955467078,394.04999999999995,0
15496.720921081269,386.29999999999995,0
15507.007983569774,384.6,0
15532.197521500995,385.19999999999993,0
15545.324340975083,387.19999999999993,0
15546.39407061615,381.44999999999993,0
15493.24133825651,389.19999999999993,0
15455.89074263799,378.5,0
15514.08197564608,392.04999999999995,0
15464.42014309391,400.35,0
15536.39812105955,387.04999999999995,0
15514.238112611823,393.6,0
15497.373748043641,381.65,0
15496.014038312838,399.29999999999995,0
15481.32727835276,383.25,0
15550.531051046628,391.4,0
15465.528244656407,384.0,0
15529.011128726406,385.1,0
15456.013533543372,397.04999999999995,0
15541.662731959548,395.75,0
15508.518877032942,401.04999999999995,0
15479.804795740889,390.4,0
15533.91657378802,383.6,0
15514.832470127367,389.1,0
15548.962519307779,383.29999999999995,0
15521.56457052774,387.15,0
15518.845785742133,391.15,0
15501.006120505388,402.65,0
15468.48934944646,391.04999999999995,0
15542.004926178928,389.15,0
15548.66292727779,397.35,0
15507.74977993941,397.0,0
15521.387539253834,398.29999999999995,0
15477.98697433394,384.4,0
15537.647146116966,393.1,0
15483.471683513462,388.9,0
15464.943459855354,396.4,0
15474.238620881211,387.0,0
15547.123332587247,382.94999999999993,0
15478.424694086727,397.44999999999993,0
15463.31918928836,405.04999999999995,0
15544.63830892449,378.69999999999993,0
15541.741122092386,405.85,0
15473.6093383049,396.75,0
15551.591899725705,389.5,0
15532.96986721096,398.65,0
15543.24124320277,395.9,0
15455.71219100567,404.9,0
15490.586542025785,387.19999999999993,0
15464.099346892945,388.35,0
15550.930044940138,399.94999999999993,0
15516.280329027531,389.6,0
15477.719519795955,390.94999999999993,0
15550.690863474969,393.19999999999993,0
15522.899778579404,392.75,0
15478.971443314324,385.04999999999995,0
15475.113564652293,392.15,0
15492.510801898135,393.25,0
15461.729481450691,396.1,0
15456.98270057015,380.44999999999993,0
15546.843684841118,382.54999999999995,0
15485.40398331142,375.29999999999995,0
15551.735103977991,387.19999999999993,0
15547.857716639559,380.35,0
15494.991661933738,386.69999999999993,0
15550.007277163491,397.6,0
15485.786231646123,373.75,0
15510.941022489822,386.29999999999995,0
15515.007297076534,397.75,0
15488.44425190291,391.9,0
15470.743802069026,384.44999999999993,0
15499.55059065587,399.29999999999995,0
15509.911614553523,398.15,0
15483.681088874455,380.35,0
15489.036301010414,378.04999999999995,0
15487.504554610749,392.9,0
15508.845029915336,404.6,0
15495.061473189598,406.79999999999995,0
15537.756890093995,393.5,0
15467.134815712021,393.4,0
15525.85419610081,379.69999999999993,0
15463.307496786188,381.79999999999995,0
22249.27253382235,196.25,0
22187.352407568746,195.75,0
22224.804045506044,197.19999999999993,0
22213.056437561452,198.75,0
22274.018158631978,197.39999999999998,0
22248.91559143496,197.75,0
22226.695102879148,197.35000000000002,0
22251.51019358379,198.29999999999995,0
22253.473447220484,197.60000000000002,0
22209.238799649975,195.35000000000002,0
22202.162331480748,196.44999999999993,0
22267.987421284513,198.54999999999995,0
22248.72540787463,196.14999999999998,0
22226.253652485775,194.19999999999993,0
