start_time,flow_packet_num,flow_size,mean_packet_size_32,mean_packet_size_20,mean_packet_size_16,mean_packet_size_8,mean_packet_size_4,coflow_id
75.79260276166116,1100,1014634,925.84375,923.4,924.125,927.375,934.0,1
10877.225996268637,37517,25163194,666.3125,667.65,666.0625,665.75,661.25,2
10847.832688565557,37505,25155003,672.53125,672.2,673.75,676.125,684.0,2
13177.214133753676,2434,2127399,883.40625,884.7,878.875,870.375,863.0,3
13166.152749825245,2454,2140161,873.25,866.15,867.0,858.625,856.0,3
15567.454759752905,52578,27934526,539.0,532.95,531.125,556.125,552.75,4
15617.406434838382,52526,27924338,526.21875,526.85,526.4375,510.125,535.25,4
15626.242668135159,52598,27961404,526.75,529.8,532.5625,549.25,556.75,4
15583.489674268249,52531,27919901,528.4375,529.3,535.375,534.375,532.0,4
15573.166350805302,52567,27942166,539.75,541.75,542.4375,553.625,541.75,4
15611.283233814913,52576,27943176,545.0625,542.7,547.375,540.625,542.0,4
15608.053202555002,52607,27966874,527.34375,534.3,528.1875,542.75,562.75,4
15574.918801238135,52590,27946894,535.90625,531.95,532.875,544.625,538.75,4
15531.110840846226,52581,27926432,535.53125,536.9,534.5625,535.0,515.0,4
15560.6471254249,52613,27957391,535.1875,538.5,530.75,511.5,508.25,4
15561.035691549845,52595,27950700,536.0625,535.2,533.5,531.5,533.0,4
15540.898759487654,52610,27966050,538.0625,544.85,542.375,552.625,575.0,4
15582.611046033391,52538,27927057,537.46875,530.8,531.25,527.0,524.75,4
15614.949455788688,52573,27942367,538.21875,535.75,541.5625,550.0,540.75,4
15625.454187708503,52593,27962440,539.84375,543.45,547.625,541.5,540.5,4
15582.519322372762,52583,27950790,524.90625,525.65,523.75,514.75,511.75,4
15625.68976286692,52615,27975979,533.90625,532.45,534.8125,530.625,536.5,4
15533.219821127466,52561,27925270,540.25,543.0,552.625,540.875,547.5,4
15545.859168485433,52637,27977421,534.09375,527.95,521.625,528.25,516.75,4
15597.255413431289,52587,27954139,530.71875,528.75,531.375,541.0,551.5,4
15629.514647906206,52602,27937617,534.53125,531.05,535.9375,530.0,525.25,4
15570.072709100108,52643,27979807,525.1875,523.05,515.875,512.125,508.0,4
15546.677088221199,52632,27963031,527.125,527.85,527.75,515.875,509.0,4
15614.004967816854,52599,27959383,536.9375,539.95,536.5,536.25,533.75,4
15563.662665602622,52555,27941972,552.875,547.9,543.9375,566.625,555.0,4
15534.857962729175,52599,27943027,539.96875,543.75,547.0,554.375,554.5,4
15546.61698296297,52540,27925323,532.5625,533.7,538.5,537.375,519.75,4
15581.342240382106,52563,27932560,524.96875,526.05,525.3125,537.375,565.5,4
15539.111792050022,52636,27959812,522.3125,518.35,518.875,522.25,495.5,4
15619.43324014403,52506,27890970,529.375,520.0,525.3125,528.5,537.75,4
15531.941455762131,52594,27958713,537.21875,542.15,537.5625,519.375,508.75,4
15629.608598563836,52545,27932993,525.28125,530.05,528.1875,548.375,545.5,4
15587.402202354135,52554,27925502,537.4375,547.2,546.0,549.125,534.5,4
15628.585114719577,52568,27925652,530.90625,526.05,522.5,507.5,513.5,4
15538.505468580493,52594,27952730,528.5,534.05,527.875,540.75,552.25,4
15579.731450232446,52555,27931711,535.78125,531.7,529.9375,531.125,512.0,4
15629.949671534823,52611,27958712,521.0625,523.25,521.375,527.75,508.0,4
15595.520736739392,52584,27951149,530.09375,526.45,521.6875,521.25,525.5,4
15557.327521020565,52610,27961612,532.1875,540.1,538.9375,530.125,519.25,4
15583.499202808745,52577,27945802,535.03125,531.95,530.125,529.25,528.25,4
15594.4659016288,52570,27945405,535.625,541.6,544.3125,539.625,528.25,4
15630.289806080611,52591,27946249,532.78125,534.95,540.25,531.625,527.75,4
15580.810595047418,52600,27956823,529.375,534.45,530.0625,532.75,520.75,4
15606.861423519536,52650,27998415,531.21875,533.9,530.5625,536.375,541.75,4
15559.486986278393,52554,27935691,524.03125,524.25,526.875,527.625,528.75,4
15562.162469254557,52587,27940061,525.5,528.45,535.75,537.375,545.25,4
15593.911401102354,52539,27937531,534.34375,532.7,523.625,514.375,526.5,4
15627.89131786001,52608,27949275,529.0,527.05,519.625,526.125,526.0,4
15601.31896936383,52561,27929922,533.40625,538.35,529.125,530.0,520.75,4
15540.358961267306,52624,27970265,532.78125,531.55,525.375,532.875,543.25,4
15535.100902861259,52551,27941467,538.4375,540.5,536.375,529.0,542.25,4
15578.113195652222,52611,27959863,531.40625,537.85,538.25,537.5,535.75,4
15568.998177731492,52521,27916022,531.25,528.8,531.25,518.375,528.25,4
15576.870054837029,52544,27907266,526.6875,532.35,524.6875,538.0,530.5,4
15589.49982054099,52560,27942703,542.28125,536.95,534.4375,537.375,534.5,4
15615.454527864504,52621,27962624,526.15625,525.45,522.0,518.0,525.0,4
15578.524332288938,52611,27985051,533.6875,528.5,525.4375,530.25,551.0,4
15597.333174861164,52579,27949228,523.21875,534.3,530.875,524.625,514.75,4
15575.026609960254,52534,27921664,530.1875,531.95,535.0,529.625,558.5,4
15542.182235336364,52634,27969047,516.1875,525.95,521.9375,523.125,551.5,4
15570.599703851844,52543,27922327,530.375,529.55,528.125,526.25,515.0,4
15630.931842840297,52592,27951403,532.03125,536.15,546.25,552.625,555.5,4
15605.432985469295,52546,27926900,533.5,533.45,529.3125,528.625,516.5,4
15598.055157375737,52591,27965849,527.65625,531.3,533.0625,536.75,527.5,4
15554.149842105175,52576,27946429,527.09375,528.6,529.4375,540.5,569.0,4
15563.604158074097,52598,27948815,523.96875,522.7,521.8125,523.25,517.75,4
15618.090377030707,52635,27976629,530.3125,527.65,521.8125,517.625,517.0,4
15613.771293629292,52637,27975373,533.78125,530.35,528.9375,517.625,525.5,4
15540.498821630388,52585,27935479,533.875,532.75,535.6875,535.5,546.5,4
15543.547238293631,52611,27967410,531.0625,523.8,518.9375,518.75,549.0,4
15535.143306102253,52598,27966368,532.3125,525.45,537.3125,531.25,519.0,4
15540.51674703046,52581,27933782,534.28125,537.1,533.125,532.375,523.0,4
15605.960580509587,52619,27967411,531.875,534.5,539.125,540.375,539.0,4
15541.095264066367,52616,27962801,534.53125,538.3,544.0625,539.25,533.75,4
15628.898375591309,52535,27929149,527.09375,529.9,526.1875,519.125,515.25,4
15556.97930911077,52534,27920843,533.15625,529.75,532.25,543.625,533.25,4
15558.569524556151,52565,27939631,536.28125,544.95,548.625,561.0,535.0,4
15575.324049272169,52568,27942560,531.4375,537.7,534.25,528.125,526.25,4
15560.273553622394,52692,28011929,530.1875,526.3,523.5,533.375,518.0,4
15583.015044538495,52607,27964977,535.15625,532.75,534.0,529.25,517.0,4
15545.53443922336,52593,27934235,526.25,525.8,526.9375,530.75,534.0,4
15616.985124034973,52538,27921941,521.21875,520.45,526.0,539.5,519.25,4
15543.33233135047,52620,27956349,524.1875,531.7,536.3125,527.25,550.75,4
15630.037187726557,52587,27949217,527.96875,533.9,533.3125,536.75,542.25,4
15550.074109079342,52665,27979691,536.28125,537.7,538.25,527.625,519.75,4
15573.140019542023,52555,27941621,527.09375,531.6,525.0,528.875,531.0,4
15593.803722332947,52586,27941640,536.21875,535.85,535.0625,546.125,532.5,4
15567.833372887288,52605,27965739,516.84375,514.95,511.5625,504.375,487.75,4
15577.3568737617,52579,27936523,530.0,523.25,527.0625,538.0,534.0,4
