start_time,flow_size,mean_packet_size_20,coflow_id
930394.6392992542,1015936,696.7,202
930343.296530676,1055581,712.6,202
930389.3266291487,1031678,699.0,202
930361.6667264728,1058061,697.15,202
930411.7000374526,1083412,711.7,202
930379.9197681481,1037952,711.85,202
930424.8005235048,1075482,690.3,202
2709968.5152397165,1082874,837.1,447
2709931.670972503,1070503,835.55,447
2709955.8133769035,1060331,830.45,447
2709964.270020395,1118903,838.25,447
2710001.8053026143,1076024,832.5,447
2709925.3824130995,1080182,848.75,447
2709996.3397492594,1087008,829.6,447
2709923.931691357,1070669,828.75,447
2709965.803420157,1054491,843.4,447
2709965.9996061255,1066773,844.75,447
2709992.3231455944,1110119,833.45,447
2709975.4967827527,1058418,819.5,447
2709913.3157672724,1106357,826.75,447
2709962.0885690185,1064937,846.3,447
2709943.69460896,1059134,830.0,447
2709993.7755109183,1051692,835.0,447
2709976.8590413323,1106535,826.1,447
2709988.6739671947,1075983,839.6,447
2709982.7499500285,1057716,840.75,447
2709936.7990905293,1101926,847.8,447
2710000.0263309805,1064673,833.1,447
2709992.447191617,1088938,836.75,447
2709972.290911453,1064736,827.9,447
2709953.046661145,1110915,841.65,447
2709960.1906515607,1108729,839.7,447
2709997.653962211,1075160,835.6,447
2709998.485201264,1078833,837.4,447
2709970.1052950094,1065303,829.6,447
2709970.1500869347,1143170,830.65,447
2709985.072506958,1115122,825.05,447
2709970.4593991353,1118312,832.6,447
2709914.3927881066,1080784,838.85,447
2709957.4450864936,1073855,849.6,447
2709969.315588515,1098166,839.7,447
2709976.525513001,1096065,828.7,447
2710000.669888255,1073520,819.6,447
2709942.1296102377,1110630,845.75,447
2709963.1681646286,1110760,820.85,447
2710000.7334571388,1093444,849.55,447
2709957.687271358,1094217,838.45,447
2709913.2648913553,1044320,837.15,447
2709998.832554532,1104335,834.5,447
2709962.083802123,1051692,824.55,447
2709919.276501031,1088263,835.85,447
2709931.502957921,1119509,825.45,447
2709915.262889153,1043555,830.15,447
2709965.969094674,1067713,834.75,447
2709967.632504687,1053148,830.55,447
2709990.426007693,1096227,847.4,447
2709921.48696645,1061237,838.5,447
2709978.129133196,1133022,830.1,447
2709980.181883782,1058660,833.35,447
2709972.024492327,1039343,848.5,447
2709949.3379163793,1115160,842.7,447
2709948.5844400427,1071058,833.9,447
2709926.5488734106,1064920,831.05,447
2709940.908792164,1028508,836.85,447
2709983.284705532,1076834,834.7,447
2709964.0894788858,1056506,823.75,447
2709993.872244536,1065777,840.55,447
2709914.0374198,1096056,834.05,447
2709993.0836476106,1079521,840.5,447
2709927.4238418634,1024563,840.95,447
2709978.212781615,1113547,840.75,447
2709994.641128574,1045575,832.5,447
2709951.833814086,1100916,829.45,447
2709926.350583794,1058173,835.5,447
2709927.0112547986,1026066,827.95,447
2709911.6952670217,1118954,843.75,447
2709985.8741434542,1082368,830.8,447
2709954.5084863845,1134243,831.9,447
2709932.7695959946,1044858,825.0,447
2709980.9845878994,1062750,824.8,447
2709943.940704806,1067020,833.0,447
2709951.5574440355,1095552,822.6,447
2709918.8859374113,1085339,829.45,447
2709939.165448532,1057425,834.25,447
2709973.8026775275,1036541,837.85,447
2709928.8009102247,1045772,832.95,447
2709925.551733723,1070386,837.75,447
2709966.2086402094,1056359,838.5,447
2709976.6648796024,1081445,828.3,447
2709943.381359022,1071470,830.85,447
2709994.126661111,1063941,833.0,447
2709935.409226627,1053124,837.35,447
2709909.396373477,1099395,832.55,447
2709953.494169734,1090891,839.0,447
2709919.5758435205,1069094,836.1,447
2709926.425424549,1082104,833.75,447
2709988.686895038,1121655,828.3,447
2710008.6106244605,1061058,830.85,447
2709972.186700243,1052795,832.25,447
2709943.0911527853,1143536,843.35,447
2709950.2406835062,1062745,840.8,447
2709923.1056874134,1126747,837.0,447
2709923.902998126,1057587,830.65,447
2709916.1543565905,1083831,831.9,447
2709971.9614370377,1121740,845.95,447
2709911.5750897974,1098509,835.0,447
2709919.4381264136,1096390,828.25,447
2709937.653446007,1014019,831.25,447
2709959.215843172,1107491,840.95,447
2709949.1186935636,1088297,844.2,447
2709982.596785872,1075038,837.55,447
2709966.510010138,1066397,824.3,447
2709999.317581251,1076395,839.7,447
2709924.400305443,1094882,836.4,447
2709956.739680359,1072606,844.6,447
2709976.440312814,1074457,834.35,447
2709930.6065035057,1076631,837.55,447
2709973.575126721,1077995,839.4,447
2709963.3765411195,1019589,832.25,447
2709954.6481822166,1098852,842.0,447
2709995.89455922,1072044,827.55,447
2709944.045396798,1073742,840.75,447
2709938.364053844,1046764,834.5,447
2709952.4767654096,1076347,836.65,447
2710004.0819607764,1086140,855.95,447
2710000.9524647575,1096451,825.35,447
2709960.33478759,1086092,831.6,447
2709914.402530515,1084449,830.55,447
2709956.699673497,1062059,834.7,447
2709958.1566265016,1097249,838.4,447
2709957.654247868,1058915,825.7,447
2709918.843639344,1057005,831.05,447
2709968.879526637,1077182,841.95,447
2709971.158817196,1061653,844.8,447
2710006.650070097,1090791,839.7,447
2709978.2293485217,1083730,820.35,447
2709972.9221793306,1030161,831.65,447
2709997.8523451146,1084333,817.3,447
2709960.1538740657,1050554,835.05,447
2709965.653739221,1091580,820.35,447
2709961.9495949266,1026125,839.25,447
2709973.661311307,1088127,827.7,447
2709926.6910284897,1079744,827.2,447
2709996.1135084564,1067895,830.35,447
2710007.223008913,1091626,831.85,447
2709956.460669056,1075237,829.05,447
2709929.6252325065,1030323,838.3,447
2709912.3794702324,1086129,837.05,447
2710004.157866835,1091898,835.95,447
2709937.192512098,1091618,822.55,447
2709922.6988799833,1067895,836.35,447
2709969.8240419594,1040482,839.3,447
2709935.2241235096,1137165,835.65,447
2709950.0436845687,1066042,829.5,447
2709998.0339897373,1100662,831.55,447
2709948.310672145,1108155,836.65,447
2709999.019478837,1065889,841.7,447
2709970.449951621,1078508,833.75,447
2709924.4278753963,1091187,844.35,447
2709957.4562500753,1107156,827.05,447
2709917.1018678937,1077254,817.85,447
2709946.3927969355,1049334,832.7,447
2709949.0992790344,1054707,838.9,447
2709912.75340414,1050971,828.0,447
2709939.2809272073,1090842,827.1,447
2709985.354112011,1042262,833.35,447
2709960.223973184,1077024,838.6,447
2709922.9171331297,1079092,828.5,447
2709961.804119631,1052482,851.85,447
