start_time,packet_size,coflow_id
930410.4083819506,898,202
930424.3942503125,879,202
930384.5595533613,928,202
930422.4679766148,866,202
930333.6217681982,840,202
930418.4027088515,841,202
930351.0107266332,870,202
2709910.7496424206,454,447
2709915.6511424053,575,447
2709978.5958854444,561,447
2709919.46602124,591,447
2709924.1831716485,492,447
2709936.515562139,521,447
2709931.637153786,565,447
2709936.2276813323,712,447
2709913.7090379396,586,447
2709980.111197311,452,447
2709922.5167811713,688,447
2709999.417279627,615,447
2710002.038046818,486,447
2709970.931601988,645,447
2709980.03062785,525,447
2709962.5103602516,626,447
2709999.548924377,470,447
2709931.4375111656,629,447
2709980.175912837,520,447
2710007.2801033915,353,447
2709925.0324760084,444,447
2709943.3918125704,651,447
2709953.717283868,558,447
2709914.014347197,498,447
2709972.9391924767,604,447
2709915.8380223108,588,447
2709941.2438718467,624,447
2709967.751149103,687,447
2709951.728652551,533,447
2709949.063160232,624,447
2709944.364317533,617,447
2709982.8684217455,584,447
2709965.097940309,733,447
2709977.853196296,691,447
2709932.7045564097,555,447
2709951.53140678,520,447
2709924.0647268537,578,447
2709918.9462121576,648,447
2709926.1909445655,606,447
2709960.888656831,553,447
2709950.2123905974,405,447
2709934.812895898,598,447
2710003.6800332535,560,447
2709969.600913494,584,447
2709984.6858281093,501,447
2709989.9862848106,542,447
2709999.908078012,653,447
2709988.4814446466,430,447
2709976.3219832336,564,447
2709966.9157123356,620,447
2709986.859431388,581,447
2709909.0405768645,562,447
2709996.956227289,572,447
2709971.9656124483,619,447
2709910.8189728637,554,447
2709989.3048800677,633,447
2709935.3048522533,565,447
2709920.7406664668,579,447
2709978.702054973,717,447
2709942.636898655,633,447
2709984.886254801,595,447
2709995.4628409287,786,447
2709967.560744115,539,447
2709952.856958533,585,447
2709921.064466754,651,447
2709968.860124226,442,447
2709931.4975318727,521,447
2709984.6989839734,604,447
2709984.949861045,465,447
2709961.5131208994,730,447
2709983.209858804,560,447
2709924.901046341,584,447
